Patient ID: 79, Timestamp: 1712830517631, Label: ECG, Data: 0.6249909828120961
Patient ID: 73, Timestamp: 1712830517626, Label: ECG, Data: 0.05502958802501952
Patient ID: 97, Timestamp: 1712830517638, Label: ECG, Data: 0.59012285172152
Patient ID: 51, Timestamp: 1712830517654, Label: ECG, Data: -0.2617331994102464
Patient ID: 66, Timestamp: 1712830517682, Label: ECG, Data: 0.2574816986104196
Patient ID: 60, Timestamp: 1712830517638, Label: ECG, Data: -0.35529954178754186
Patient ID: 7, Timestamp: 1712830517619, Label: ECG, Data: 0.09021965797641049
Patient ID: 47, Timestamp: 1712830517638, Label: ECG, Data: 0.4869460225712621
Patient ID: 11, Timestamp: 1712830517670, Label: ECG, Data: 0.05898399002294726
Patient ID: 83, Timestamp: 1712830517626, Label: ECG, Data: 0.23480725189909213
Patient ID: 24, Timestamp: 1712830517638, Label: ECG, Data: -0.0670501946646528
Patient ID: 43, Timestamp: 1712830517638, Label: ECG, Data: -0.3506323354785531
Patient ID: 81, Timestamp: 1712830517638, Label: ECG, Data: 0.700124178713729
Patient ID: 91, Timestamp: 1712830517638, Label: ECG, Data: 0.47765219638893885
Patient ID: 74, Timestamp: 1712830517601, Label: ECG, Data: -0.2757032045797306
Patient ID: 70, Timestamp: 1712830517723, Label: ECG, Data: 0.022458340412857884
Patient ID: 53, Timestamp: 1712830517727, Label: ECG, Data: 0.272535446731426
Patient ID: 93, Timestamp: 1712830517756, Label: ECG, Data: -0.5369072821877243
Patient ID: 85, Timestamp: 1712830517756, Label: ECG, Data: -0.1802126846842478
Patient ID: 72, Timestamp: 1712830517756, Label: ECG, Data: -0.17285644888668555
Patient ID: 48, Timestamp: 1712830517756, Label: ECG, Data: -0.3625289595808973
Patient ID: 67, Timestamp: 1712830517771, Label: ECG, Data: 0.2511964584985133
Patient ID: 96, Timestamp: 1712830517771, Label: ECG, Data: 0.3919110704147412
Patient ID: 99, Timestamp: 1712830517771, Label: ECG, Data: 0.03917154365399633
Patient ID: 22, Timestamp: 1712830517771, Label: ECG, Data: 0.35669196574857576
Patient ID: 65, Timestamp: 1712830517771, Label: ECG, Data: -0.45052652183274944
Patient ID: 3, Timestamp: 1712830517771, Label: ECG, Data: -0.14642483312907317
Patient ID: 14, Timestamp: 1712830517771, Label: ECG, Data: -0.0946552772358204
Patient ID: 20, Timestamp: 1712830517771, Label: ECG, Data: 0.2590903742283964
Patient ID: 74, Timestamp: 1712830518607, Label: ECG, Data: 0.31542193907738103
Patient ID: 63, Timestamp: 1712830518607, Label: ECG, Data: 0.20315553696458374
Patient ID: 55, Timestamp: 1712830518607, Label: ECG, Data: -0.4776790209281882
Patient ID: 7, Timestamp: 1712830518622, Label: ECG, Data: 0.7129805227470077
Patient ID: 73, Timestamp: 1712830518638, Label: ECG, Data: -0.1026176406840702
Patient ID: 83, Timestamp: 1712830518638, Label: ECG, Data: -0.20173241280671594
Patient ID: 79, Timestamp: 1712830518638, Label: ECG, Data: 0.15592529194669952
Patient ID: 47, Timestamp: 1712830518638, Label: ECG, Data: -0.042458151896479404
Patient ID: 24, Timestamp: 1712830518638, Label: ECG, Data: -0.30397682247907226
Patient ID: 81, Timestamp: 1712830518638, Label: ECG, Data: 0.2790753056403005
Patient ID: 91, Timestamp: 1712830518638, Label: ECG, Data: 0.33415561438206026
Patient ID: 35, Timestamp: 1712830518638, Label: ECG, Data: -0.11589412088864809
Patient ID: 60, Timestamp: 1712830518638, Label: ECG, Data: 0.45638903713227563
Patient ID: 43, Timestamp: 1712830518638, Label: ECG, Data: 0.1518068437691051
Patient ID: 97, Timestamp: 1712830518653, Label: ECG, Data: -0.004929586823245777
Patient ID: 15, Timestamp: 1712830518653, Label: ECG, Data: 0.4292272584234213
Patient ID: 27, Timestamp: 1712830518653, Label: ECG, Data: 0.25424533057825977
Patient ID: 57, Timestamp: 1712830518653, Label: ECG, Data: -0.4953793361125107
Patient ID: 51, Timestamp: 1712830518653, Label: ECG, Data: 0.28424887380944885
Patient ID: 11, Timestamp: 1712830518685, Label: ECG, Data: 0.023535214463465393
Patient ID: 66, Timestamp: 1712830518685, Label: ECG, Data: -0.020289427050131523
Patient ID: 50, Timestamp: 1712830518700, Label: ECG, Data: -0.49564738697039673
Patient ID: 6, Timestamp: 1712830518716, Label: ECG, Data: 0.18578053714824277
